ORIGIN_AIRPORT,DEST_AIRPORT,Adjusted_Air_Time
BDL,PHL,96
SEA,CLT,470
MSY,PHL,216
PHL,MSY,115
CLT,SFO,144
CLT,DEN,75
DEN,CLT,309
SFO,CLT,485
AUS,CLT,225
CLT,AUS,101
PHX,ORD,405
PHL,PHX,98
ORD,PHL,201
JAX,CLT,100
BDL,CLT,127
CLT,SYR,95
TPA,MIA,57
TPA,MIA,56
CLT,DFW,99
ATL,PHL,122
CLT,PVD,145
PVD,CLT,143
FLL,CLT,134
MIA,PHX,108
MIA,PHX,109
PHL,PIT,90
PIT,PHL,68
DCA,MIA,145
DCA,MIA,144
JAX,PHL,123
PHL,JAX,141
PHL,MCO,141
ATL,CLT,71
MCO,PHX,80
CLT,DTW,101
DTW,CLT,105
CLT,TPA,137
TPA,CLT,106
BDL,CLT,132
CLT,BDL,111
MCI,PHX,28
DTW,PHL,93
DEN,CLT,314
DFW,SEA,138
DFW,MKE,133
MKE,DFW,140
ORD,CLT,185
PHX,ORD,335
PDX,DFW,324
DFW,ELP,33
ELP,DFW,160
SEA,JFK,535
ATL,DFW,68
DEN,ORD,212
JFK,DCA,127
LAS,ORD,336
FLL,ORD,112
ATL,DFW,90
DFW,ATL,181
DEN,ORD,214
ORD,DEN,76
SNA,DFW,306
DFW,STL,102
STL,DFW,95
DFW,IAD,239
BNA,DFW,119
JAX,DFW,91
SAT,DFW,79
DFW,RSW,237
RSW,DFW,95
PHX,SMF,115
SMF,ORD,424
MIA,ORD,182
MIA,ORD,183
ONT,DFW,304
CLT,BWI,82
DFW,MSY,89
MSY,DFW,87
BDL,ORD,101
MIA,TPA,61
MIA,TPA,62
TPA,MIA,58
TPA,MIA,57
MIA,DFW,131
MIA,DFW,132
DFW,LAX,58
DFW,ORD,132
DCA,ORD,52
ORD,DCA,171
MIA,DCA,151
MIA,DCA,152
MSP,ORD,93
ORD,MSP,83
DCA,DFW,130
ORD,DCA,164
STL,ORD,65
SFO,DFW,321
DFW,SLC,95
SLC,PHX,33
BNA,DFW,141
DFW,BNA,109
DFW,IND,175
IND,DFW,74
DTW,MIA,179
DTW,MIA,178
ORD,PBI,235
MCO,DFW,127
ORD,LAX,144
IND,DFW,68
ORD,DCA,164
PHX,SFO,109
MSP,PHX,74
DFW,MIA,242
DFW,MIA,241
BDL,LAX,169
ORD,SEA,149
LAX,MSY,343
DCA,MIA,172
DCA,MIA,171
MIA,DCA,147
MIA,DCA,148
EWR,ORD,94
ORD,SNA,116
SNA,PHX,84
MSP,CLT,208
DFW,DCA,228
SAN,DFW,321
DFW,LGA,252
LGA,DFW,182
BOS,PHX,184
CLT,RDU,48
RDU,CLT,57
EWR,MIA,194
EWR,MIA,193
MIA,EWR,167
MIA,EWR,168
PHL,MIA,186
PHL,MIA,185
DFW,SAN,52
SAN,DFW,308
SLC,PHX,30
DEN,DFW,169
ORD,SLC,134
MCO,PHL,146
PHL,MCO,154
DFW,SEA,154
DCA,LAS,113
DFW,LAX,57
DFW,ONT,49
RDU,MIA,125
RDU,MIA,124
TUL,DFW,88
SJU,MIA,149
SJU,MIA,148
DFW,TUL,61
TUL,DFW,80
DFW,SJU,360
BOS,DFW,195
DCA,ORD,49
DFW,RIC,231
RIC,DFW,120
MCI,DFW,94
BOS,MIA,199
BOS,MIA,198
MIA,BOS,188
MIA,BOS,189
ORD,TPA,222
MSY,DFW,101
DFW,SNA,54
LGA,DFW,158
DTW,DFW,113
MCO,ORD,100
PHL,MIA,189
PHL,MIA,188
CLT,TPA,105
TPA,CLT,115
MIA,TPA,64
MIA,TPA,65
TPA,MIA,67
TPA,MIA,66
ORD,MSY,140
CAE,DFW,91
ORD,MCO,221
LAS,DFW,303
BOS,PHL,103
PHL,BOS,88
DFW,ORD,130
DFW,SNA,72
DFW,MSY,89
MSY,DFW,81
BOS,JFK,77
JFK,BOS,86
PHX,SNA,72
PHL,STL,76
STL,PHL,203
CLT,PBI,102
JFK,DFW,151
EWR,DFW,159
ATL,MIA,103
ATL,MIA,102
PHX,DFW,263
ORD,DEN,95
BOS,LAX,173
ORD,LAX,136
DFW,LGA,312
BNA,DFW,109
DFW,BNA,118
ORD,SAN,132
MIA,BOS,185
MIA,BOS,186
DCA,MIA,151
DCA,MIA,150
DFW,AUS,55
DCA,MIA,144
DCA,MIA,143
DFW,FLL,225
FLL,DFW,119
BWI,MIA,157
BWI,MIA,156
LAX,MIA,485
LAX,MIA,484
DFW,BWI,230
TPA,DFW,103
DFW,MIA,227
DFW,MIA,226
MIA,DFW,104
MIA,DFW,105
EWR,MIA,178
EWR,MIA,177
SFO,DFW,333
BOS,MIA,197
BOS,MIA,196
MIA,BOS,179
